57457623,22500,22500
57457638,3420,3420
57457655,32820,32820
57457660,36420,36420
57457665,40320,40320
57457670,43920,43920
57457676,47520,47520
57457679,49320,49320
57457682,51120,51120
57457685,52920,52920
57457688,54720,54720
57457691,56520,56520
57457694,58320,58320
57457697,60120,60120
57457702,63720,63720
57457706,67320,67320
57457710,70920,70920
57457716,78120,78120
57457719,81720,81720
57457728,45720,45720
57457729,2100,2100
57457732,6600,6600
57457733,10500,10500
57457751,41700,41700
57457756,45300,45300
57457761,48900,48900
57457764,50700,50700
57457767,52500,52500
57457771,54300,54300
57457775,56100,56100
57457779,57900,57900
57457783,59700,59700
57457787,61500,61500
57457791,63300,63300
57457795,65100,65100
57457798,66900,66900
57457803,70500,70500
57457807,74100,74100
57457811,77700,77700
57457814,81300,81300
57457818,85500,85500
57457819,38100,38100
57457820,27900,27900
57457639,18120,18120
57457640,20220,20220
57457641,22020,22020
57457643,22920,22920
57457644,23520,23520
57457645,24720,24720
57457646,25620,25620
57457647,26520,26520
57457648,27420,27420
57457649,28320,28320
57457650,29220,29220
57457652,30120,30120
57457653,31020,31020
57457654,31920,31920
57457656,32820,32820
57457658,34020,34020
57457659,35820,35820
57457662,37620,37620
57457664,39420,39420
57457667,41220,41220
57457669,43020,43020
57457672,44820,44820
57457674,46620,46620
57457677,48420,48420
57457680,50220,50220
57457683,52020,52020
57457686,54120,54120
57457689,55620,55620
57457692,57420,57420
57457695,59220,59220
57457698,61020,61020
57457700,62820,62820
57457703,64620,64620
57457704,66420,66420
57457707,67920,67920
57457708,69720,69720
57457711,71520,71520
57457712,73320,73320
57457714,76920,76920
57457717,81420,81420
57457735,21600,21600
57457736,24000,24000
57457737,25800,25800
57457738,27660,27660
57457740,29460,29460
57457741,31260,31260
57457742,32460,32460
57457743,33960,33960
57457745,35760,35760
57457746,37560,37560
57457748,39360,39360
57457749,41160,41160
57457752,42960,42960
57457754,44760,44760
57457757,46560,46560
57457759,48360,48360
57457762,49860,49860
57457765,51360,51360
57457768,52620,52620
57457769,53520,53520
57457772,54420,54420
57457773,55320,55320
57457776,56220,56220
57457777,57120,57120
57457780,58020,58020
57457781,58920,58920
57457784,59820,59820
57457785,60720,60720
57457788,61620,61620
57457789,62520,62520
57457792,63420,63420
57457793,64320,64320
57457796,65520,65520
57457799,66900,66900
57457801,68700,68700
57457804,70500,70500
57457805,72300,72300
57457808,74100,74100
57457809,75900,75900
57457812,77700,77700
57457815,81300,81300
57457817,84900,84900
57457720,85020,85020
57457637,3120,3120
57457642,22020,22020
57457651,29220,29220
57457657,32820,32820
57457661,36420,36420
57457663,38520,38520
57457666,40320,40320
57457668,42120,42120
57457671,43920,43920
57457673,45720,45720
57457675,47520,47520
57457678,49320,49320
57457681,51120,51120
57457684,52920,52920
57457687,54720,54720
57457690,56520,56520
57457693,58320,58320
57457696,60120,60120
57457699,61920,61920
57457701,63720,63720
57457705,67320,67320
57457709,70920,70920
57457713,74520,74520
57457715,78120,78120
57457718,81720,81720
57457721,85320,85320
57457730,2100,2100
57457731,6300,6300
57457734,10500,10500
57457739,27900,27900
57457744,34500,34500
57457747,38100,38100
57457750,41700,41700
57457753,43500,43500
57457755,45300,45300
57457758,47100,47100
57457760,48900,48900
57457763,50700,50700
57457766,52500,52500
57457770,54300,54300
57457774,56100,56100
57457778,57900,57900
57457782,59700,59700
57457786,61500,61500
57457790,63300,63300
57457794,65100,65100
57457797,66900,66900
57457800,68700,68700
57457802,70500,70500
57457806,74100,74100
57457810,77700,77700
57457813,81300,81300
57457816,84900,84900
56231953,55800,55800
56231954,45000,45000
56231955,59400,59400
56231956,61200,61200
56231957,26100,26100
56231958,63000,63000
56231961,29100,29100
56231962,32700,32700
56231963,39600,39600
56231964,52200,52200
56231965,53880,53880
56231966,57300,57300
56231967,60900,60900
56231968,62700,62700
56231970,21600,21600
56231971,40800,40800
56231972,46200,46200
56231973,24300,24300
56231974,27300,27300
56231975,30300,30300
56231976,33900,33900
56231978,65400,65400
56231959,54420,54420
56231960,61620,61620
56231969,56100,56100
56231977,64620,64620
56231979,24300,24300
56231979,25800,25800
56231980,22800,22800
56231981,57300,57300
56231982,43200,43200
56231982,45000,45000
56231983,48600,48600
56231983,50400,50400
56231985,36000,36000
56231985,37800,37800
56231986,51900,51900
56231987,54000,54000
56231988,63000,63000
56231990,25800,25800
56231990,27300,27300
56231991,30300,30300
56231991,31800,31800
56231992,57600,57600
56231992,59100,59100
56231993,59400,59400
56231993,60900,60900
56231994,61200,61200
56231994,62700,62700
56231996,55800,55800
56231997,27900,27900
56231998,29460,29460
56231999,66900,66900
56231999,68400,68400
56231984,39600,39600
56231984,41400,41400
56231989,61620,61620
56231995,60000,60000
56231995,61500,61500
56232000,54600,54600
56232000,55500,55500
56232001,23700,23700
56232001,24600,24600
56232002,58200,58200
56232002,59100,59100
56232003,60000,60000
56232003,60900,60900
56232004,63600,63600
56232004,64500,64500
56232006,25500,25500
56232006,26400,26400
56232007,46800,46800
56232007,47700,47700
56232005,56400,56400
56232005,57300,57300
60919955,33300,33300
60919956,39000,39000
60919957,45600,45600
60919958,51000,51000
60919959,32700,32700
60919960,38400,38400
60919961,45000,45000
60919962,50400,50400
